1,576967.765,1366607.059,0,0+000.00
2,576983.722,1366619.117,0,0+020.00
3,576999.678,1366631.174,0,0+040.00
4,577015.635,1366643.232,0,0+060.00
5,577031.592,1366655.289,0,0+080.00
6,577047.548,1366667.347,0,0+100.00
7,577063.505,1366679.404,0,0+120.00
8,577079.462,1366691.462,0,0+140.00
9,577095.418,1366703.519,0,0+160.00
10,577111.375,1366715.577,0,0+180.00
11,577127.332,1366727.634,0,0+200.00
12,577143.289,1366739.692,0,0+220.00
13,577159.245,1366751.749,0,0+240.00
14,577165.305,1366756.329,0,0+247.60
15,577174.789,1366763.905,0,0+259.74
16,577174.991,1366764.076,0,0+260.00
17,577183.851,1366771.983,0,0+271.88
18,577189.767,1366777.55,0,0+280.00
19,577204.332,1366791.256,0,0+300.00
20,577218.897,1366804.962,0,0+320.00
21,577233.462,1366818.668,0,0+340.00
22,577240.745,1366825.521,0,0+350.00
